source,type,dochead,sender,receiver,docbody,year,month,date,dateISO8601,location,docbody_wordcount,Yearindecimal
"NA:SD, Applications:DS",Recommendation,RECOMMENDATION OF ISAAC. N. COX AS JUDGE,,,"The Undersigned inhabitants of East Florida deeply lamenting the recent unfortunate death of the Honâ€ Will"" W. Blair, Judge of the third Judicial District of the Territory, and anxiously desirous of seeing the vacancy thus occasioned on the Supreme Bench supplied by a gentleman of approved worth, talents and legal acquirements, and trusting that the choice will be made from the residents of the Country rather than from amongst Strangers, do unit in recommending our fellow Citisen Isaac Newton Cox as a proper person to fill the Office above referred to; and feel ourselves authorised to state that his appointment would afford general Satisfaction to the people of this Section of the Territory, and would be considered by them as a mark of attention to their wishes, on the part of the Executive of the United States Tho. H. Penn. John M. FontanÃ© Mayor of S*Augustine f: j: fatio. Peter Mitchel Rd: Weightman Bernardo Segui W H Simmons. 986 G. W. Perpall Rich"" Murray Resident Physician of St Augustine Will. Reynolds A Bellamy Joseph S. Sanchez James P. Cotter. Emanuel W. Ormond D: Fleischman Meynardie de Nadalie A. Gay O. Rutan Antonio Alvarez Pabo F. FontanÃ© Geo: J F: Clarke Ben: Chaires Joseph M. Hernandez Joseph M. Arredondo J M Hanson E R Gibson Thomas Crosby Fra"" Boland pastor of the Roman Catholic Church of S* Augustineâ€” Bierce Rowe Richard P. Furman M. D. Reuben Loring Francis Ferreira John A Cavedo. [Endorsed] Penn Tho"" H. & others Recommend Isaac N. Cox as Judge in Florida. Dept of Stateâ€”Floridaâ€”Judge""â€”",1824,,No date,1824,,258,1824
"NAwd, SW Lets. Recd., C 210:C",Correspondence,ACTING GOVERNOR WALTON TO DUNCAN L. CLINCH,ACTING GOVERNOR WALTON,DUNCAN L. CLINCH,"Col CLINCH, Commâ€ SIR, The Secretary of State, by letter dated the 20 of Aug 1822,â€ addressed to Governor Duval, informed him that â€œwith regard to the Occupation by the Military of the public buildings, orders have been already transmitted from the War Department to Co'Clinch, to place them at the disposal of the Civil Authorityâ€ The Government of the Territory, by the act of Congress of the 30 of March last, devolving on me, in Consequence of the absence of the Governor, it becomes my duty to address you on the subject of those buildings, and request that the determination of the Government be Carried into Effect. The Subject has recently in an especial manner demanded by attention, by a formal request from the mayor and City Council of Pensacola, to set apart for the use of the Corporation one of the Block Houses lately Occupied by the Troops. I have informed the Mayor that the public buildings not having been formally turned over to me, although no longer Occupied by the Military, I did not think it proper to take any step untill I had previously addressed you on the subject.â€”I should wish to make the arrangement entirely Convenient to the Military, but understanding that it is not their intention to return to Pensacola, I presume there can be no objection to giving possession to the Civil Authority, of all such buildings, as are not actually used and Occupied for Military purposesâ€” I have the honor to be with high Consideration Y."" Ob: Ser (Signed) GEO: WALTON Secy & Act: Gov of the Terry of Florida COL D L. CLINCH Commandng a true copy W* Martin Adjt. 4Â° Inf. 98 Enclosed with a letter of Sept. 8, 1824, from Clinch to the Secretary of War.",1818,October,,1818-10,No 7â€“ SYNNESSA,297,1818.10
"NA:SD, Applications:ALS",Correspondence,THE SECRETARY OF WAR TO THE SECRETARY OF STATE,THE SECRETARY OF WAR,THE SECRETARY OF STATE,"D"" SIR, I enclose the letter from M* Duval in relation to whom I conversed with you last evening. He is a very worth man and is very competent to fill the place of a judge or District attorney. I would be much gratified with his appointment.â€ With Sincere respect J. C. CALHOUN HON. J. Q. ADAMS. [Addressed] The Sect of State [Messenger] War Dept [Endorsed] W"" P Duval Calhoun Jn C. Wasnâ€”Rcd 17th feby 1821 Ent recommends W* P Duval as Judge or District Attâ€ in florida. [Enclosure:ALS] William P. DuValâ€ to the Secretary of War BARDS-Town [Ky.] Jany 27* 1821â€“ D* SIR It appears almost cirtain (if we can credit the papers of the day) that Spain has ratifyed the treatyâ€” If this news be true, I suppose the immediate possession of that country will be assumed by our Govermentâ€”If a judge is to appointed with a compitent, Salary for this new country I will accept it or any other appointment there in which I can be of service to my Countryâ€”I would indeed prefer a situation nearer, Kentuckyâ€”but I know of none, I however, submit to your judgement and will be governed by it, whatever your friendship, to me my sugest, as best for me, I will pursue, - Yours with esteem W"" P, DUVAL HON"" J. C, CALHOWN [Addressed] Hon"" John C. Calhown Secretary at War Washington City Free [Endorsed] Ent""",1821,February,17,1821-02-17,Received,235,1821.0217
"NA:SD, Applications:ALS",Correspondence,FREEMAN WALKER TO THE SECRETARY OF STATE,FREEMAN WALKER,THE SECRETARY OF STATE,"DEAR SIR I this day had the honor of transmitting to the President, the names of several persons"" who are Candidates for office in Floridaâ€”Among the rest, were two of my particular friendsâ€”George Walton and Jesiah Sturges Beers"" of Augustaâ€”As you will no doubt have much to do, with the organization of the contemplated Governmentâ€”I trust you will excuse me, for calling your attention to the names before mentioned. ColÂ° George Walton,"" the person first named, is the only son of the late George Walton, of Georgia, one of the patriots of the revolution, and one of those worthies who signed the declaration of Independenceâ€”But ColÂ° Waltons claims are not alone those of inheritanceâ€” he is a gentleman of liberal education and of great respectibilityâ€”And aspires to the office of Secretary of Stateâ€”for which appointment I think him well qualified. Mr Beers the other person mentioned is a gentleman of industry, integrity & ability and well qualified to fill the office of Post Master at Augustineâ€”the appointment solicited for him. If there should not be other Candidates for these officesâ€”having higher claims to your considerationâ€”I should feel much gratified by their receiving your approbation. I have the honor to be with very great respect Y Ob*S* FREEMAN WALKER I am well acquainted with the Gentlemen recommended in the foregoing letter, & it affords me pleasure to say, that they are persons of the highest respectability & every way qualified to discharge the duties of the offices they desire to obtain. ROBERT: RAYMOND: REID"" [Addressed] The Hon"" John Q. Adams [Endorsed] 19 Feby. 1821. Mess"" Walker & Reid George Walton Recommend George Walton & Sturges Beers. Ent",1821,February,19,1821-02-19,"SENATE CHAMBER,",276,1821.0219
"NA:SD, Original Statutes """,Act,AN ACT ENABLING THE PRESIDENT TO TAKE POSSESSION OF EAST AND WEST FLORIDA,,,"An Act for carrying into execution the Treaty between the United States and Spain, concluded at Washington, on the twenty-second day of February, one thousand eight hundred and nineteen."" Be it enacted by the Senate and House of Representatives of the United States of America in Congress assembled,"" That the President of the United States be, and he is hereby, authorized to take possession of, and occupy, the territories of East and West Florida, and the appendages and appurtenances thereof; and to remove and transport the officers and soldiers of the King of Spain, being there, to the Havanna, agreeably to the stipulations of the Treaty between the United States and Spain, concluded at Washington on the twenty-second day of February, in the year one thousand eight hundred and nineteen, providing for the cession of said territories to the United States; and he may, for these purposes, and in order to maintain in said territories the authority of the United States, employ any part of the army and navy of the United States, and the militia of any state or territory, which he may deem necessary.â€ Acts of the United States of America (Washington, 1931â€“1948, 8 vols.), III, 3â€“20. It is also printed in 8 STAT. 252â€“273; 18 STAT. pt. 2, 712-718; and A. S. P., For. Rels., IV, 623â€“625. An authoritative treatment of the negotiations leading to the treaty is by Philip C. Brooks, Diplomacy and the Borderlands; the Adams-Onis Treaty of 1819 (Berkeley, 1939), passim. This work also contains a comprehensive bibliography of relevant manuscript sources and secondary works. SEC: 2. And be it further enacted, That, until the end of the first session of the next Congress, unless provision for the temporary government of said territories be sooner made by Congress, all the military, civil, and judicial powers exercised by the officers of the existing government of the same territories, shall be vested in such person, and persons, and shall be exercised in such manner, as the President of the United Shall direct, for the maintaining the inhabitants of said territories in the free enjoyment of their liberty, property, and religion; * and the laws of the United States relating to the revenue and its collection, subject to the modification stipulated by the fifteenth article of the said Treaty, in favor of Spanish vessels and their cargoes, and the laws relating to the importation of persons of color, shall be extended to the said territories. And the President of the United States shall be, and he is hereby, authorized, within the time aforesaid, to establish such districts for the collection of the revenue, and, during the recess of Congress, to appoint such officers, whose commission shall expire at the end of the next session of Congress, to enforce the said laws, as to him shall seem expedient. SEC: 3. And be it further enacted, That the President of the United States be, and he is hereby, authorized to appoint, during the recess of the Senate, a commissioner and surveyor, whose commissions shall expire at the end of the next session of Congress, to meet the commissioner and surveyor who may be appointed on the part of Spain, for the purposes stipulated in the fourth article of said Treaty; and that the President be, and he is hereby, further authorized to take all other measures which he shall judge proper, for carrying into effect the stipulations of the said fourth article."" SEC: 4. And be it further enacted, That a Board of three commissioners shall be appointed conformably to the stipulations of the eleventh article of the said Treaty; and the President of the United States is hereby authorized to take any measures which he may deem expedient, for organizing the said Board of Commissioners; and, for this purpose, may appoint a Secretary well versed in the French and Spanish languages, and a clerk; which appointments, if made during the recess of the Senate, shall, at the next meeting of that body, be subject to nomination for their advice and consent.â€ SEC: 5. And be it further enacted, That the compensation of the respective officers, for whose appointment provision is made by this act, shall not exceed the following sums: The Commissioner to be appointed conformably to the fourth article, at the rate, by the year, of three thousand dollars. To the Surveyor two thousand dollars. To each of the three Commissioners to be appointed conformably to the eleventh article of the Treaty three thousand dollars. To the Secretary of the Board two thousand dollars. To one clerk, one thousand five hundred dollars. SEC: 6. And be it further enacted, That for carrying this act into execution, the sum of one hundred thousand dollars be, and hereby is appropriated, to be taken from any moneys in the Treasury not otherwise appropriated."" JOHN W. TAYLOR Speaker of the House of Representatives JOHN GAILLARD President of the Senate pro tempore Washington March 3"" 1821. approved JAMES MONROE. I certify that this act originated in the House of Representatives Attest, THO. DOUGHERTY CHR",1821,March,3,1821-03-03,,842,1821.0303
"NA:SD, Dom. Letters, XVIII *",Correspondence,THE SECRETARY OF STATE TO JAMES GRANT FORBES,THE SECRETARY OF STATE,JAMES GRANT FORBES,"JAMES GRANT FORBES Esquire SIR. The President of the United States having occasion to employ a person to take to the Spanish Governor General of the Island of Cuba, the order from his Government for the delivery of the Provinces of East and West Florida, to the Commissioners or Officers of the United States duly appointed to receive them, has selected you as the Agent for that purpose, and a Certificate to that effect from this Department, will be delivered to you with this Letter. You will forthwith repair to New York, and there take passage in the United States Sloop of War, Hornet, Captain Read, who will be instructed to receive you, and to proceed as soon as possible to the Havanna. The order to the Governor General of Cuba, together with the Letter from the Spanish Minister General Wives to him, is committed to you; and you will deliver it to him in person upon your arrivalâ€”You will urge the immediate execution of it, and will offer to take charge yourself, of the Governor Generals order to the Governor of West Floridaâ€”should he prefer to transmit this by an Officer of his own appointment, Captain Read will be authorized to give him a passage with you in the Ship to Pensacolaâ€”You will also concert with him the means of transmitting the order for the delivery of the Province of East Florida, to the Governor at S*Augustineâ€”It has been represented that the Archives and public Documents, Stipulated to be delivered up by the Treaty are at the Havanna; and if so you will require that they should be delivered to you, and take them with you in the ship to Pensacola, where you will keep them in safe custody till the arrival of Major General Andrew Jackson, who is appointed Governor of the whole of the territories ceded, and to whom you will deliver them over, or to his order taking a suitable receipt or receipts for them by duplicate, one of which you will transmit to this Department. On arriving at Pensacola and communicating to the Governor the Order from the Governor of Cuba, you will immediately give notice by expresss to General Jackson who will be at Montpelier,â€ in the vicinity of that place, that he may repair to it to receive possession; and you will then remain at Pensacola, giving information to this Department, through the nearest mail, believed to be at Blakeley,â€ of your proceedings, you will also communicate to this Department any information relating to the Country, which it may be useful to us to possess, and wait for such instructions as may be transmitted to you till the accomplishment of the objects of your Mission. Your compensation will be at the rate of eight Dollars a day from the time of your departure from this place, till your arrival at Pensacolaâ€”all your expences on the passage are to be at your own charge; and from the time of your arrival at Pensacola the allowance will be six Dollars a day till you receive notice that it is to ceaseâ€”If you then conclude to return to New York the allowance will be continued for a reasonable time to admit of your return. The papers herewith furnished you are, 1. a Certificate of your appointment.â€ 2. A Commission authorizing you to demand and recieve the Archives* 3. The order to the Governor and Captain General of Cuba,â€ with a letter to him from the Spanish Minister here.â€ 4. Six copies of the Treaty, with the Ratifications, to be used as you may find convenient. 5. A Copy of the order to the Governor of Cuba. 6. A Copy of the Act of Congress for carrying the Treaty into execution.â€ It is proper to apprize you that if by any accident you should be prevented from executing the service herewith assigned to you M' G. L. Thompson has a Commission for performing it in your stead.â€ I am &c JOHN QUINCY ADAMS.",1821,March,10,1821-03-10,Department of State WASHINGTON,666,1821.0310
"LC: Jackson Papers, Vol. 59:DS """,Commission,COMMISSION OF ANDREW JACKSON AS COMMISSIONER TO TAKE POSSESSION OF EAST AND WEST FLORIDA,,,"JAMES MONROE, President of the United States of America, To all to whom these presents shall come, Greeting: Know Ye, That reposing special Trust and Confidence in the Patriotism, and Abilities of MAJOR GENERAL ANDREW JACKSON of Tennessee, I have appointed him Commissioner of the United States 15 By article 11 of the treaty the United States undertook to pay the claims of American citizens against Spain up to the amount of $5,000,000. President Monroe, on March 31, 1821, appointed a board of three commissioners, viz., Hugh L. White, of Tenn., William King, of Me., and John W. Green, of Va. Green did not serve and was replaced on May 9 by Littleton W. Tazewell, of Va. For an account of the work of the board, see John B. Moore, History and Digest of the International Arbitrations to which the United States Has Been a Party (Washington, 1898, 6 vols.), V, 4499â€“4518, and for a list of printed documents relative to the board, see Adelaide R. Hasse, Index to United States Documents Relating to Foreign Affairs, 1828â€“1861 (Washington, 1914â€“1921, 3 vols.), III, 1549. -----w concluded at Washington on the twenty second day of February, in the year one thousand eight hundred and nineteen; and for that purpose to repair to the said Territories and there to execute and perform all such acts and things touching the premises as may be necessary for fulfiling his appointment conformable to the said Treaty, and the laws of the United States: and I do moreover authorize the said ANDREW JACKSON to appoint any person or persons in his stead to receive possession of any part of the said ceded Territories, according to the stipulations of the said Treaty.â€ In Testimony whereof, I have caused these Letters to be L. S. made patent, and the Seal of the United States to be hereunto affixed. Given under my hand at the City of Washington the tenth day of March, A. D. 1821; and of the Independence of the United States of America, the Forty Fifth. JAMES MONROE By the President, JOHN QUINCY ADAMS, Secretary of State",1821,March,10,1821-03-10,,350,1821.0310
"LC: Jackson Papers, Vol. 59:DS*",Commission,COMMISSION OF ANDREW JACKSON AS GOVERNOR,,,"JAMES MONROE, President of the United States of America, To all to whom these presents shall come, Greeting: Whereas the Congress of the United States by An Act passed on the third day of the present monthâ€ did provide that until the end of the first Session of the next Congress, unless provision be sooner made for the temporary Government of the Territories of East and West Florida, ceded by Spain to the United States, by the Treaty between the said Parties concluded at Washington on the twenty second day of February, one thousand eight hundred and Nineteen, all the military civil and judicial powers exercised by the officers of the existing government of the same, shall be vested in such person and persons, and shall be exercised in such manner as the President of the United States shall direct, for maintaining the inhabitants of said Territories in the free enjoyment of their liberty, property and religion. Now Know Ye, That reposing special Trust and Confidence in the Integrity, Patriotism and Abilities of MAJOR GENERAL ANDREW JACKSON, I do in virtue of the above recited Act appoint him to exercise within the said ceded Territories under such limitations as have been or may hereafter be prescribed to him by my instructions, and by law, all the powers and authorities heretofore exercised by the Governor and Captain General and Intendant of Cuba, and by the Governors of East and West Florida within the said provinces respectively; and do authorize and empower him the said ANDREW JACKSON to execute and fulfil the duties of this present appointment according to law; and to Have and to Hold the same with all its powers and privileges until the end of the next Session of Congress unless provision be sooner made for the temporary government of the said Territories so ceded by Spain to the United States; Provided however and it is the true intent and meaning of these presents that the said Andrew Jackson or any person acting under him or in the said territories shall have no power or authority to lay or collect any new or additional taxes or to grant or confirm to any person or persons whomsoever any title or claims to lands within the same.â€ In Testimony whereof, I have caused these Letters to L. S. be made patent and the Seal of the United States to be hereunto affixed. Given under my hand at the City of Washington the tenth day of MarchA.D. 1821; and of the Independence of the United States of America, the Forty Fifth.â€ JAMES MONROE By the President, JOHN QUINCY ADAMS Secretary of State. [Endorsed] Gen' Jackson's commission as Governor of Florida March 10th 1821",1821,March,10,1821-03-10,,451,1821.0310
"NA:SD, Applications:ALS",Correspondence,GULIAN C. VERPLANCK * TO THE SECRETARY OF STATE,GULIAN C. VERPLANCK *,THE SECRETARY OF STATE,"SIR A number of the most respectable members of both houses of our state legislature having lately joined in recommending M"" Rodman * of New York to the President as a candidate for a collectorship or other public office in Florida, I take the liberty to lay before the government some more particular information respecting this gentleman. M Rodman was bred a merchant and is generally admitted to be an excellent accountant and man of business. Various circumstances afterwards led him to the study and profession of the law in which he acquired a respectable standing and held for some time the lucrative and honourable place of District Attorney for the city of New York. Some important business (in the result of which however he was unfortunately disappointed) induced him to resign this office and go to Europe. Being now a widower, having not yet recovered his professional business, and believing that a southern climate would be favorable to his general health he is now induced to try his fortunes in Florida. He has paid great attention to modern languages and the civil and continental law. He writes and speaks French with much accuracy and fluency and is generally acquainted with the modes of transacting both public and commercial business on the continent of Europe. He is besides a man of fair character and of indefatigable industry. Should the collectorships, for which I understand that he applies, be otherwise bestowed, M. R. is well qualified for several others of the offices which will be probably erected under the territorial government. I am with great respect Your obedient Servant GULIAN C. VERPLANCK HON JOHN QUINCY ADAMS. [Addressed] The Secretary of State Washington City [Postmarked] Albany Mar 14 free [Endorsed] 12. March 1821. Verplanck Gulian C. Recommends John Rodman for office in Florida",1821,March,12,1821-03-12,ALBANY,301,1821.0312
"LC: Jackson Papers, Vol. 59: LS*",Correspondence,THE SECRETARY OF STATE TO COMMISSIONER AND GOVERNOR JACKSON,THE SECRETARY OF STATE,COMMISSIONER AND GOVERNOR JACKSON,"MAJOR GENERAL ANDREW JACKSON. SIR, By direction of the President of the United States, I have the honor of transmitting to you three Commissions, 1.-As Commissioner to receive possession of the Provinces of East and West Florida, conformably to the Treaty between the United States and Spain, concluded on the 22"" of February 1819.â€ 2. As Governor of the whole Territories of which possession is to be thus taken.â€ 3. As Commissionerâ€ vested with Special and extraordinary powers,â€ conformably to the stipulations of the Treaty and to the Act of Congress for carrying the same into execution; copies of both which are also among the enclosures with this letter. Together with the Spanish Ratification of the Treaty, there was transmitted to the Spanish Minister at this place a Royal Order, to the Captain General and Governor of the Island of Cuba,â€ for delivering possession of the Provinces of East and West Florida, according to the Stipulations of the second article of the Treaty. Colonel James G. Forbes has been appointed by the President Agent & Commissary to deliver this Royal Order to the Governor of Cuba,â€ to concert and arrange with him the execution of it, and to receive any documents or archives which may be at the Havanna, and which are stipulated to be delivered by this article. A copy of his Instructions is herewith enclosed; "" by which you will perceive, that he is to deliver over to you all such documents or archives as he may receive at the Havanna. It is desirable that those relating to each of the two Provinces should be kept distinct from each other, and that this Government should be informed generally of their character and quantity. Colonel Forbes is to take passage at New York, in the United States Sloop of War Hornet, Captain Read;"" and, on arriving at Pensacola, is to give you immediate notice, that you may repair thither to receive possession of that place. The Hornet is to remain there to escort the transports, in which the Spanish officers and troops, and their baggage, are to be conveyed to the Havanna. The Spanish Minister has expressed a strong wish, that no troops of the United States may be introduced into Pensacola or St. Augustine, until after the evacuation by those of Spain. The object of this request being to avoid any possible unpleasant altercations between the soldiers of the two nations, the President thinks it reasonable to comply with it, unless you should be of opinion that it will be attended with inconvenience. In that event, he relies that you will take every measure of precaution which may be necessary to guard against any such collisions between the soldiers; and he trusts with confidence that in every arrangement for the evacuation, the utmost delicacy will be observed to avoid every thing which might tend to wound the feelings of any of the Spanish officers, soldiers, or subjects, who are to remove. It is the President's desire, that you should appoint General Gaines,â€ or such other Officer as you may deem expedient, to receive possession of St. Augustine; and that the same Instructions should be applied to the execution of that Service. The United States' Brig Enterprize, or Sch. Porpoise, will be ordered to proceed to that place, to escort the transports which are to convey the Spanish officers and troops thence to the Havanna. The care of providing the transports at both places is referred to you. The number of troops at either place is not known, but supposed to amount to about 500 men at each. The stipulation is understood to include civil as well as military officers, and provisions as well as passage: Instructions will be given by the Secretary of War to the Quarter-Masters * and Commissaries to furnish to your orders provisions and transports for the conveyance of the Spanish officers and troops. It is expected they will be supplied at New Orleans and Mobile, for those to embark within the Gulph, and at Savannah and Charleston for those going from St. Augustine. A copy and translation of the Royal Order to the Governor of Cuba, for delivering the possession of the Provinces, are among the enclosures herewith. You will observe, that it includes expressly the islands appertinent to them. It will be proper that attention should be paid to taking possession of all these islands; but it may not be necessary that a formal delivery of them in every case should be made. On receiving from the Governors of West and East Florida possession of those respective Provinces, it will be proper to exchange certificates of the time and mode of the transaction: orders for the delivery of any military posts within the Provinces will be expected, and they will be occupied by detachments of our troops as you may deem expedient. As soon as the possession shall be transferred, you will, in pursuance of your authority over the ceded territories, issue proclamations announcing the fact. A form,â€ adopted from that which was issued on the first occupation of Louisiana,"" is herewith enclosed, to be modified as the circumstances in your opinion may require. The powers, vested in you by the enclosed Commissions, are also conformable to those which were entrusted to the Governor of Louisiana,"" under an Act of Congress of similar import."" The President is satisfied that they will be exercised by you with a due regard as well to the privileges and usages of the inhabitants under the Government to which they have been subject, as to the personal and social rights to which they will be entitled by the stipulations of the Treaty, and as associates to the Union of these States. The money paid into the Spanish treasury before the delivery of possession, and whatever may be due thereto at that date, is to be considered as the property of Spain. Payments and debts subsequent to that date, will belong of course to the United States. The laws of the United States relating to the revenue and its collection, and those relating to the introduction of persons of color, being extended, by the Act of Congress, to the Territory,"" the execution of them will be superintended by officers to be appointed for the several collection districts to be established by the President conformably to the law. Your compensation as Governor will be at the rate of five thousand dollars a year. As Commissioner for receiving possession of the Provinces,â€ such reasonable expenses as may be incurred will be allowed. Whenever your military command ceases, your salary as Governor will commence. In the taking of possession of St. Augustine and East-Florida, similar proceedings to those relative to the occupation of West-Florida will be proper. Both Provinces being placed under your direction, the Proclamation to be issued there will be in your name; and General Gaines, or such other officer as you may appoint, will be instructed to consider himself, for all the purposes of the Government, subject to your orders. At the ensuing session of Congress, it is to be presumed one of the earliest objects of attention to that body will be, to make further provision for the Government of these territories.â€ The President wishes you, in the interval, to collect and communicate to this Department any information, relating to the country and its inhabitants, which may be useful to the exercise of the legislative authority of the Union concerning them. For the expenses incident to the services herewith required, you will draw upon this Department. Strict economy is to be observed in incurring them; and I have urgently to request the transmission, as early as possible, of all the accounts resulting from them with the vouchers necessary for their settlement at the Treasury."" I am with great respect, Sir, your very humble and obed"" Serv"" JOHN QUINCY ADAMS P. S. The third commission * being reserved by the President for consideration is not enclosed. Papers enclosed. 2 Commissions. Copy of the Treatyâ€” do Law for executing it. (in a newspaper) do Col. Forbesâ€™ Instructions. do Royal order for delivery. do do (translation) Form of Proclamations. * [Endorsed] Letter of Instruction] to Gen' Jackson relative to the Occupation of Florida NÂ° 1.",1821,March,12,1821-03-12,Department of State WASHINGTON,1374,1821.0312
